Robot_ID,Task_Type,Component_ID,Sensor_Type,Sensor_Data,Processing_Time (s),Accuracy (%),Environmental_Status,Energy_Consumption (kWh),Human_Intervention_Needed,Obstacle_Detected,Defect_Detected
RBT_244,Assembly,CMP_197,LIDAR,1 (obstacle detected),42.7,97.7,Stable,2.8,No,Yes,No
RBT_245,Assembly,CMP_988,LIDAR + Camera,82.4 (°C),56.4,92.6,Stable,2.6,Yes,No,No
RBT_246,Welding,CMP_543,Camera,1 (obstacle detected),79.5,96.9,Stable,1.5,No,No,Yes
RBT_247,Assembly,CMP_329,Thermal,75.8 (°C),55.0,92.7,Stable,1.1,No,No,No
RBT_248,Welding,CMP_653,LIDAR,92% (visual fit),55.7,94.2,Stable,1.0,Yes,No,No
RBT_249,Welding,CMP_237,Camera,98% (defect-free),52.7,93.2,Stable,2.7,Yes,Yes,Yes
RBT_250,Painting,CMP_409,Thermal,0 (no obstacle),52.9,94.2,Stable,2.6,No,No,Yes
RBT_251,Welding,CMP_504,LIDAR,75.8 (°C),44.0,96.7,Stable,2.9,Yes,No,Yes
RBT_252,Assembly,CMP_922,Camera,0 (clear path),50.4,95.5,Stable,1.3,No,Yes,No
RBT_253,Inspection,CMP_772,Thermal,92% (visual fit),62.2,96.7,Stable,1.2,Yes,Yes,Yes
RBT_254,Assembly,CMP_294,Thermal,82.4 (°C),53.3,95.9,Stable,1.2,Yes,No,No
RBT_255,Assembly,CMP_383,LIDAR + Camera,92% (visual fit),61.3,92.8,Unstable,1.6,No,Yes,No
RBT_256,Welding,CMP_357,LIDAR + Camera,0 (no obstacle),64.4,94.9,Stable,1.5,No,No,Yes
RBT_257,Painting,CMP_707,LIDAR + Camera,1 (obstacle detected),53.0,90.1,Stable,2.5,No,Yes,No
RBT_258,Welding,CMP_353,LIDAR + Camera,0 (no obstacle),75.3,94.0,Stable,1.7,Yes,No,No
RBT_259,Inspection,CMP_762,Thermal,82.4 (°C),64.1,94.4,Unstable,1.1,Yes,No,Yes
RBT_260,Assembly,CMP_789,LIDAR,92% (visual fit),78.8,97.3,Stable,1.5,No,No,Yes
RBT_261,Painting,CMP_322,Thermal,98% (defect-free),57.9,93.4,Stable,1.3,Yes,No,No
RBT_262,Inspection,CMP_150,Thermal,98% (defect-free),59.9,98.3,Stable,1.7,Yes,No,No
RBT_263,Painting,CMP_919,Camera,0 (clear path),43.7,97.4,Stable,2.2,No,Yes,Yes
RBT_264,Assembly,CMP_499,Camera,1 (obstacle detected),48.4,97.0,Unstable,1.7,No,Yes,Yes
RBT_265,Assembly,CMP_207,Camera,0 (clear path),54.1,98.7,Stable,2.3,No,Yes,Yes
RBT_266,Painting,CMP_278,LIDAR + Camera,0 (clear path),77.5,96.0,Unstable,1.6,Yes,Yes,No
RBT_267,Welding,CMP_811,Thermal,0 (clear path),73.5,96.4,Stable,1.5,No,Yes,Yes
RBT_268,Painting,CMP_443,Thermal,1 (obstacle detected),47.0,91.0,Stable,1.3,Yes,No,Yes
RBT_269,Assembly,CMP_113,LIDAR,92% (visual fit),48.1,98.6,Unstable,1.0,Yes,No,Yes
RBT_270,Inspection,CMP_444,Thermal,1 (obstacle detected),71.7,91.6,Stable,2.2,Yes,No,Yes
RBT_271,Assembly,CMP_265,Thermal,98% (defect-free),67.1,93.2,Unstable,2.0,Yes,Yes,Yes
RBT_272,Inspection,CMP_671,LIDAR,0 (no obstacle),53.2,98.2,Unstable,2.8,No,No,Yes
RBT_273,Inspection,CMP_790,LIDAR + Camera,98% (defect-free),40.9,96.4,Stable,1.7,Yes,No,No
RBT_274,Welding,CMP_475,LIDAR + Camera,1 (obstacle detected),71.5,94.1,Unstable,2.7,Yes,Yes,Yes
RBT_275,Painting,CMP_226,LIDAR + Camera,82.4 (°C),79.9,92.4,Stable,2.9,Yes,Yes,Yes
RBT_276,Assembly,CMP_730,LIDAR,92% (visual fit),78.6,97.7,Stable,2.2,No,Yes,No
RBT_277,Assembly,CMP_704,LIDAR + Camera,0 (clear path),78.9,98.5,Unstable,2.4,No,No,No
RBT_278,Welding,CMP_685,Thermal,85.3 (°C),55.1,99.7,Stable,2.0,No,No,No
RBT_279,Assembly,CMP_356,Thermal,98% (defect-free),61.8,92.7,Stable,1.7,No,Yes,Yes
RBT_280,Assembly,CMP_738,LIDAR + Camera,1 (obstacle detected),73.8,95.2,Unstable,2.8,No,No,No
RBT_281,Assembly,CMP_798,Thermal,82.4 (°C),78.8,90.9,Unstable,2.8,No,No,Yes
RBT_282,Welding,CMP_966,LIDAR,0 (no obstacle),44.6,99.2,Unstable,2.4,Yes,No,Yes
RBT_283,Inspection,CMP_983,LIDAR,92% (visual fit),55.9,92.8,Unstable,1.6,Yes,Yes,No
RBT_284,Assembly,CMP_924,Thermal,0 (no obstacle),61.9,94.2,Unstable,2.8,No,Yes,Yes
RBT_285,Welding,CMP_442,Thermal,85.3 (°C),46.4,99.3,Unstable,1.4,No,No,Yes
RBT_286,Assembly,CMP_958,LIDAR + Camera,82.4 (°C),49.5,92.5,Stable,1.3,Yes,No,No
RBT_287,Painting,CMP_371,LIDAR,0 (no obstacle),49.3,91.7,Unstable,1.8,No,No,No
RBT_288,Inspection,CMP_624,LIDAR + Camera,1 (obstacle detected),40.6,93.9,Unstable,1.1,No,No,No
RBT_289,Welding,CMP_306,LIDAR,98% (defect-free),64.1,96.4,Stable,2.9,No,Yes,Yes
RBT_290,Inspection,CMP_731,Thermal,1 (obstacle detected),53.1,90.1,Stable,1.2,No,Yes,No
RBT_291,Painting,CMP_104,Camera,82.4 (°C),70.7,98.8,Stable,1.8,Yes,Yes,Yes
RBT_292,Welding,CMP_590,Thermal,0 (no obstacle),50.1,93.4,Unstable,2.5,Yes,Yes,Yes
RBT_293,Welding,CMP_945,LIDAR,98% (defect-free),68.9,90.3,Stable,2.8,No,Yes,Yes
RBT_294,Painting,CMP_222,Thermal,0 (clear path),78.5,94.0,Stable,2.9,No,No,Yes
RBT_295,Assembly,CMP_106,Camera,0 (clear path),44.6,96.5,Unstable,2.8,No,Yes,Yes
RBT_296,Painting,CMP_190,LIDAR,98% (defect-free),67.5,90.8,Unstable,3.0,Yes,Yes,No
RBT_297,Welding,CMP_602,LIDAR,98% (defect-free),46.1,93.7,Unstable,2.1,No,Yes,No
RBT_298,Inspection,CMP_256,Camera,98% (defect-free),70.5,99.0,Stable,1.6,No,No,Yes
RBT_299,Assembly,CMP_344,Camera,0 (clear path),55.1,96.6,Stable,1.4,Yes,Yes,No
RBT_300,Painting,CMP_347,LIDAR + Camera,82.4 (°C),51.5,90.1,Stable,3.0,No,Yes,Yes
RBT_301,Welding,CMP_961,Camera,92% (visual fit),49.4,91.0,Stable,1.7,No,Yes,Yes
RBT_302,Painting,CMP_728,Camera,0 (clear path),51.7,94.8,Unstable,1.3,No,Yes,Yes
RBT_303,Painting,CMP_664,LIDAR + Camera,1 (obstacle detected),59.9,93.9,Unstable,2.4,No,No,Yes
RBT_304,Welding,CMP_188,LIDAR,92% (visual fit),61.8,99.5,Stable,2.1,Yes,Yes,No
RBT_305,Assembly,CMP_211,Thermal,98% (defect-free),74.7,92.2,Unstable,2.2,Yes,Yes,Yes
RBT_306,Welding,CMP_689,Camera,98% (defect-free),41.9,90.7,Unstable,2.0,Yes,No,No
RBT_307,Painting,CMP_199,Thermal,0 (no obstacle),54.6,94.7,Unstable,1.2,No,No,No
RBT_308,Welding,CMP_208,Thermal,1 (obstacle detected),54.6,91.0,Unstable,2.6,Yes,Yes,No
RBT_309,Inspection,CMP_371,LIDAR + Camera,0 (clear path),74.8,92.5,Unstable,2.9,No,No,Yes
RBT_310,Assembly,CMP_626,LIDAR,0 (clear path),46.6,97.6,Unstable,2.9,Yes,No,Yes
RBT_311,Inspection,CMP_147,LIDAR,82.4 (°C),47.0,98.9,Unstable,2.1,Yes,No,No
RBT_312,Assembly,CMP_896,Thermal,1 (obstacle detected),65.6,91.2,Stable,2.7,No,Yes,Yes
RBT_313,Painting,CMP_425,LIDAR + Camera,98% (defect-free),56.5,98.5,Stable,2.2,Yes,No,Yes
RBT_314,Welding,CMP_874,Thermal,75.8 (°C),62.4,99.4,Stable,2.5,Yes,No,No
RBT_315,Painting,CMP_998,LIDAR + Camera,92% (visual fit),44.1,94.2,Stable,1.4,Yes,Yes,Yes
RBT_316,Painting,CMP_556,LIDAR,75.8 (°C),48.9,97.3,Stable,2.3,No,Yes,No
RBT_317,Inspection,CMP_503,Thermal,82.4 (°C),52.9,98.7,Stable,2.4,No,Yes,Yes
RBT_318,Inspection,CMP_519,Camera,92% (visual fit),62.7,94.3,Unstable,1.5,Yes,Yes,Yes
RBT_319,Assembly,CMP_783,LIDAR + Camera,82.4 (°C),45.3,91.9,Stable,2.8,No,No,Yes
RBT_320,Welding,CMP_980,LIDAR + Camera,0 (clear path),63.8,93.2,Stable,2.8,No,Yes,Yes
RBT_321,Painting,CMP_794,Camera,75.8 (°C),74.7,99.5,Stable,2.2,Yes,Yes,No
RBT_322,Painting,CMP_569,Thermal,98% (defect-free),78.9,94.9,Unstable,2.7,Yes,No,No
RBT_323,Inspection,CMP_776,Camera,92% (visual fit),66.2,97.6,Stable,2.2,No,No,No
RBT_324,Assembly,CMP_127,LIDAR,82.4 (°C),67.3,99.4,Stable,1.0,No,No,Yes
RBT_325,Painting,CMP_381,LIDAR + Camera,75.8 (°C),60.7,98.2,Unstable,1.2,No,No,Yes
RBT_326,Inspection,CMP_818,Camera,92% (visual fit),67.4,93.4,Stable,1.4,No,Yes,Yes
RBT_327,Welding,CMP_914,LIDAR,85.3 (°C),45.0,98.2,Stable,2.4,Yes,No,No
RBT_328,Painting,CMP_931,Thermal,0 (clear path),65.0,94.6,Unstable,1.2,No,No,Yes
RBT_329,Painting,CMP_393,Thermal,98% (defect-free),79.3,94.6,Stable,1.5,Yes,No,No
RBT_330,Inspection,CMP_657,Thermal,0 (clear path),78.6,93.0,Unstable,1.6,No,No,Yes
RBT_331,Assembly,CMP_790,Camera,1 (obstacle detected),62.1,99.2,Stable,2.4,No,No,Yes
RBT_332,Painting,CMP_242,LIDAR + Camera,0 (clear path),72.7,97.4,Unstable,1.9,No,Yes,No
RBT_333,Welding,CMP_726,Camera,98% (defect-free),43.3,93.0,Unstable,1.6,No,No,Yes
RBT_334,Welding,CMP_786,Thermal,82.4 (°C),77.8,93.0,Unstable,1.2,No,No,No
RBT_335,Assembly,CMP_546,LIDAR,0 (no obstacle),62.2,92.2,Unstable,2.8,Yes,Yes,Yes
RBT_336,Assembly,CMP_246,LIDAR + Camera,1 (obstacle detected),78.4,91.5,Stable,2.8,Yes,No,Yes
RBT_337,Assembly,CMP_750,Thermal,75.8 (°C),55.9,97.5,Stable,2.6,No,No,Yes
RBT_338,Inspection,CMP_170,Thermal,75.8 (°C),60.7,95.9,Unstable,2.1,No,No,No
RBT_339,Assembly,CMP_608,LIDAR,92% (visual fit),59.7,91.2,Stable,2.0,Yes,Yes,Yes
RBT_340,Painting,CMP_340,LIDAR + Camera,82.4 (°C),53.2,90.9,Stable,2.0,No,Yes,Yes
RBT_341,Painting,CMP_111,Camera,0 (clear path),75.3,93.9,Stable,1.9,Yes,Yes,No
RBT_342,Inspection,CMP_921,Camera,92% (visual fit),56.9,93.1,Stable,1.3,Yes,No,Yes
RBT_343,Assembly,CMP_598,LIDAR + Camera,75.8 (°C),42.2,97.7,Unstable,2.8,Yes,Yes,No
RBT_344,Assembly,CMP_556,Thermal,98% (defect-free),78.1,90.1,Stable,1.4,No,Yes,Yes
RBT_345,Welding,CMP_960,LIDAR + Camera,0 (clear path),52.5,95.8,Unstable,2.3,No,No,Yes
RBT_346,Welding,CMP_863,Camera,75.8 (°C),55.7,97.8,Unstable,1.4,No,No,Yes
RBT_347,Painting,CMP_151,LIDAR,85.3 (°C),62.2,98.8,Unstable,1.8,No,No,No
RBT_348,Inspection,CMP_386,LIDAR,0 (clear path),48.4,95.4,Stable,1.7,Yes,Yes,Yes
RBT_349,Assembly,CMP_393,Thermal,1 (obstacle detected),64.0,95.6,Stable,2.6,Yes,Yes,Yes
RBT_350,Welding,CMP_179,LIDAR + Camera,85.3 (°C),70.3,94.2,Stable,2.8,No,Yes,No
RBT_351,Painting,CMP_260,LIDAR + Camera,75.8 (°C),75.7,90.1,Unstable,3.0,Yes,Yes,No
RBT_352,Painting,CMP_375,LIDAR + Camera,85.3 (°C),70.4,90.4,Stable,2.4,No,No,No
RBT_353,Assembly,CMP_126,LIDAR + Camera,98% (defect-free),41.9,98.6,Unstable,2.3,Yes,Yes,Yes
RBT_354,Assembly,CMP_196,LIDAR,92% (visual fit),77.4,96.8,Unstable,1.8,No,Yes,Yes
RBT_355,Welding,CMP_175,LIDAR,75.8 (°C),68.4,92.6,Stable,2.6,Yes,Yes,Yes
RBT_356,Assembly,CMP_691,Camera,0 (clear path),78.0,91.0,Stable,1.7,No,Yes,No
RBT_357,Painting,CMP_407,LIDAR + Camera,92% (visual fit),75.5,93.5,Unstable,1.5,No,No,Yes
RBT_358,Assembly,CMP_874,Camera,0 (clear path),46.5,91.0,Stable,2.8,Yes,Yes,No
RBT_359,Assembly,CMP_655,LIDAR + Camera,85.3 (°C),69.1,96.6,Unstable,1.3,Yes,Yes,Yes
RBT_360,Inspection,CMP_814,Thermal,82.4 (°C),68.9,94.8,Unstable,2.0,No,No,Yes
RBT_361,Assembly,CMP_202,Thermal,82.4 (°C),49.4,91.5,Stable,2.9,Yes,Yes,No
RBT_362,Welding,CMP_579,LIDAR + Camera,1 (obstacle detected),59.0,99.8,Stable,1.7,No,Yes,Yes
RBT_363,Welding,CMP_712,LIDAR,82.4 (°C),75.1,92.4,Unstable,2.5,Yes,No,No
RBT_364,Painting,CMP_539,Camera,85.3 (°C),65.3,90.5,Unstable,2.0,Yes,Yes,Yes
RBT_365,Painting,CMP_164,LIDAR,1 (obstacle detected),40.6,95.1,Unstable,1.3,No,Yes,Yes
RBT_366,Painting,CMP_715,Thermal,98% (defect-free),78.4,96.0,Stable,2.5,Yes,Yes,No
RBT_367,Assembly,CMP_863,Camera,0 (no obstacle),41.2,98.4,Stable,2.3,No,Yes,Yes
RBT_368,Painting,CMP_720,LIDAR + Camera,98% (defect-free),51.1,97.2,Stable,1.3,Yes,Yes,Yes
RBT_369,Painting,CMP_770,LIDAR + Camera,85.3 (°C),48.0,96.1,Stable,1.1,No,Yes,Yes
RBT_370,Inspection,CMP_360,LIDAR,85.3 (°C),66.1,97.9,Unstable,2.0,Yes,Yes,Yes
RBT_371,Welding,CMP_437,LIDAR + Camera,98% (defect-free),45.3,92.8,Unstable,2.9,Yes,No,Yes
RBT_372,Inspection,CMP_487,Thermal,82.4 (°C),59.3,98.4,Unstable,2.0,No,Yes,No
RBT_373,Welding,CMP_581,Thermal,0 (clear path),66.9,93.5,Stable,1.9,Yes,Yes,No
RBT_374,Assembly,CMP_325,LIDAR + Camera,75.8 (°C),50.9,98.1,Stable,2.1,No,Yes,Yes
RBT_375,Welding,CMP_461,Camera,82.4 (°C),69.6,95.1,Stable,1.7,No,No,Yes
RBT_376,Welding,CMP_136,LIDAR + Camera,85.3 (°C),46.1,98.4,Unstable,1.7,No,No,No
RBT_377,Painting,CMP_244,LIDAR,0 (clear path),48.1,98.3,Unstable,2.0,No,No,No
RBT_378,Inspection,CMP_833,LIDAR + Camera,1 (obstacle detected),52.8,96.3,Stable,2.8,Yes,Yes,Yes
RBT_379,Welding,CMP_141,LIDAR + Camera,1 (obstacle detected),63.5,95.5,Unstable,1.5,Yes,Yes,Yes
RBT_380,Inspection,CMP_289,Camera,85.3 (°C),76.1,96.1,Stable,2.7,No,Yes,No
RBT_381,Inspection,CMP_354,Camera,92% (visual fit),58.0,95.5,Stable,1.7,No,Yes,Yes
RBT_382,Inspection,CMP_922,Thermal,85.3 (°C),52.0,91.7,Unstable,2.5,No,Yes,No
RBT_383,Welding,CMP_114,LIDAR + Camera,0 (clear path),54.8,98.5,Stable,2.9,No,No,No
RBT_384,Assembly,CMP_396,Camera,82.4 (°C),77.4,99.2,Unstable,1.4,No,Yes,Yes
RBT_385,Painting,CMP_592,LIDAR + Camera,92% (visual fit),42.7,97.0,Unstable,1.6,No,No,Yes
RBT_386,Welding,CMP_831,LIDAR + Camera,82.4 (°C),58.3,90.0,Stable,1.3,Yes,No,No
RBT_387,Painting,CMP_193,LIDAR + Camera,1 (obstacle detected),77.5,91.6,Unstable,1.3,Yes,Yes,No
RBT_388,Painting,CMP_849,Thermal,0 (no obstacle),42.3,97.9,Unstable,2.1,Yes,Yes,No
RBT_389,Painting,CMP_115,Camera,0 (clear path),53.6,97.7,Stable,2.3,Yes,Yes,Yes
RBT_390,Welding,CMP_167,Thermal,82.4 (°C),65.4,92.0,Stable,1.8,No,No,No
RBT_391,Assembly,CMP_223,LIDAR,85.3 (°C),72.1,94.6,Stable,2.5,Yes,Yes,Yes
RBT_392,Assembly,CMP_773,LIDAR + Camera,82.4 (°C),53.9,99.2,Stable,2.0,Yes,No,No
RBT_393,Assembly,CMP_904,Camera,82.4 (°C),66.2,95.1,Stable,2.3,Yes,No,Yes
RBT_394,Welding,CMP_970,Thermal,1 (obstacle detected),64.7,98.1,Unstable,2.9,Yes,Yes,No
RBT_395,Painting,CMP_322,LIDAR + Camera,0 (no obstacle),79.0,99.1,Unstable,1.0,Yes,Yes,Yes
RBT_396,Inspection,CMP_844,LIDAR + Camera,85.3 (°C),63.1,93.8,Unstable,1.8,No,Yes,No
RBT_397,Inspection,CMP_771,LIDAR + Camera,85.3 (°C),43.2,95.4,Unstable,2.4,No,No,Yes
RBT_398,Welding,CMP_608,LIDAR,82.4 (°C),72.2,94.7,Unstable,2.5,Yes,No,No
RBT_399,Assembly,CMP_857,LIDAR,0 (no obstacle),72.7,90.7,Stable,1.9,Yes,No,Yes
RBT_400,Painting,CMP_993,Thermal,75.8 (°C),51.8,98.7,Stable,2.7,Yes,Yes,Yes
RBT_401,Painting,CMP_445,Camera,0 (clear path),75.1,96.0,Stable,2.6,Yes,No,Yes
RBT_402,Welding,CMP_937,Thermal,0 (no obstacle),68.1,99.4,Stable,1.6,Yes,Yes,No
RBT_403,Welding,CMP_306,LIDAR + Camera,0 (clear path),79.7,93.3,Stable,1.2,Yes,No,No
RBT_404,Painting,CMP_305,LIDAR,0 (no obstacle),63.8,92.3,Stable,3.0,Yes,Yes,No
RBT_405,Painting,CMP_707,Thermal,98% (defect-free),77.6,92.0,Unstable,2.7,Yes,Yes,No
RBT_406,Painting,CMP_895,Thermal,85.3 (°C),60.6,97.2,Stable,1.8,Yes,No,No
RBT_407,Assembly,CMP_980,Thermal,1 (obstacle detected),62.4,91.6,Stable,1.7,No,Yes,No
RBT_408,Assembly,CMP_886,Thermal,1 (obstacle detected),40.5,94.2,Unstable,1.9,Yes,No,No
RBT_409,Assembly,CMP_627,LIDAR,75.8 (°C),63.7,98.9,Stable,2.0,Yes,No,No
RBT_410,Inspection,CMP_142,LIDAR + Camera,1 (obstacle detected),54.8,95.3,Unstable,1.6,No,No,Yes
RBT_411,Assembly,CMP_811,LIDAR,92% (visual fit),42.0,98.8,Stable,2.5,Yes,Yes,Yes
RBT_412,Inspection,CMP_943,Camera,82.4 (°C),71.3,98.7,Stable,1.8,Yes,No,No
RBT_413,Assembly,CMP_294,LIDAR,0 (no obstacle),68.9,94.8,Unstable,1.3,No,No,Yes
RBT_414,Welding,CMP_943,Camera,75.8 (°C),49.6,94.9,Stable,2.3,Yes,Yes,No
RBT_415,Welding,CMP_520,LIDAR,0 (no obstacle),72.0,94.9,Unstable,1.2,Yes,Yes,No
RBT_416,Inspection,CMP_642,LIDAR,85.3 (°C),42.0,98.0,Unstable,2.1,Yes,Yes,No
RBT_417,Welding,CMP_147,LIDAR,98% (defect-free),77.0,94.2,Unstable,1.8,Yes,Yes,No
RBT_418,Painting,CMP_319,LIDAR,85.3 (°C),47.1,91.0,Unstable,2.5,No,No,No
RBT_419,Assembly,CMP_827,Camera,92% (visual fit),57.2,93.0,Unstable,1.2,Yes,No,No
RBT_420,Assembly,CMP_177,Camera,85.3 (°C),72.1,99.3,Stable,1.0,Yes,Yes,No
RBT_421,Welding,CMP_450,LIDAR + Camera,85.3 (°C),72.3,90.2,Stable,1.0,Yes,Yes,No
RBT_422,Inspection,CMP_956,Thermal,85.3 (°C),43.6,92.0,Stable,1.8,No,No,No
RBT_423,Welding,CMP_844,LIDAR,92% (visual fit),40.4,98.2,Unstable,1.2,No,Yes,Yes
RBT_424,Assembly,CMP_890,Thermal,92% (visual fit),65.5,94.8,Unstable,1.5,No,Yes,Yes
RBT_425,Painting,CMP_280,Camera,0 (no obstacle),52.9,96.2,Unstable,1.2,No,Yes,No
RBT_426,Assembly,CMP_467,Camera,75.8 (°C),77.9,95.9,Stable,1.6,Yes,Yes,No
RBT_427,Assembly,CMP_257,LIDAR,82.4 (°C),55.1,99.4,Unstable,1.9,Yes,No,Yes
RBT_428,Painting,CMP_432,Thermal,92% (visual fit),68.6,94.8,Unstable,1.6,Yes,No,Yes
RBT_429,Painting,CMP_493,LIDAR,0 (no obstacle),77.0,93.9,Unstable,2.2,No,Yes,No
RBT_430,Painting,CMP_814,LIDAR + Camera,92% (visual fit),43.1,94.6,Unstable,1.5,No,No,Yes
RBT_431,Painting,CMP_613,LIDAR + Camera,1 (obstacle detected),42.3,96.5,Stable,1.4,No,No,Yes
RBT_432,Inspection,CMP_883,Camera,92% (visual fit),49.4,94.3,Stable,2.2,Yes,No,No
RBT_433,Assembly,CMP_851,Camera,0 (no obstacle),40.6,96.5,Unstable,2.9,No,Yes,No
RBT_434,Painting,CMP_597,Camera,1 (obstacle detected),51.8,93.8,Unstable,1.8,No,Yes,Yes
RBT_435,Painting,CMP_187,Camera,0 (clear path),43.3,90.2,Stable,1.1,No,Yes,No
RBT_436,Painting,CMP_375,LIDAR + Camera,82.4 (°C),69.4,96.7,Stable,2.6,No,Yes,Yes
RBT_437,Painting,CMP_948,LIDAR + Camera,75.8 (°C),70.1,98.6,Stable,2.1,No,Yes,No
RBT_438,Welding,CMP_376,Camera,82.4 (°C),72.8,93.2,Unstable,3.0,Yes,Yes,No
RBT_439,Inspection,CMP_252,Thermal,82.4 (°C),53.5,95.9,Unstable,2.1,No,Yes,Yes
RBT_440,Painting,CMP_667,LIDAR,98% (defect-free),56.3,96.8,Unstable,2.0,No,No,No
RBT_441,Inspection,CMP_760,LIDAR + Camera,82.4 (°C),59.5,90.7,Unstable,2.5,No,No,Yes
RBT_442,Inspection,CMP_296,Camera,98% (defect-free),64.4,94.1,Stable,2.2,No,Yes,Yes
RBT_443,Inspection,CMP_885,Camera,92% (visual fit),55.9,93.2,Unstable,2.4,No,No,No
RBT_444,Inspection,CMP_436,LIDAR,0 (clear path),70.0,97.5,Stable,2.9,Yes,Yes,Yes
RBT_445,Welding,CMP_757,Thermal,85.3 (°C),63.5,92.5,Unstable,2.7,No,Yes,No
RBT_446,Welding,CMP_223,Thermal,82.4 (°C),65.2,93.0,Unstable,2.5,Yes,No,Yes
RBT_447,Painting,CMP_800,LIDAR,75.8 (°C),76.9,95.3,Unstable,2.1,No,Yes,Yes
RBT_448,Assembly,CMP_163,Thermal,0 (no obstacle),72.5,98.8,Unstable,2.1,No,No,Yes
RBT_449,Painting,CMP_761,Thermal,85.3 (°C),44.6,95.4,Stable,2.9,No,Yes,Yes
RBT_450,Welding,CMP_169,LIDAR,0 (no obstacle),60.9,92.9,Stable,1.1,Yes,Yes,No
RBT_451,Inspection,CMP_384,Thermal,98% (defect-free),68.0,92.8,Unstable,1.6,Yes,Yes,Yes
RBT_452,Painting,CMP_490,LIDAR,75.8 (°C),52.2,92.4,Stable,1.4,Yes,No,No
RBT_453,Welding,CMP_434,LIDAR + Camera,0 (clear path),51.8,98.2,Stable,1.6,No,No,Yes
RBT_454,Inspection,CMP_237,LIDAR,75.8 (°C),46.8,96.1,Unstable,2.5,Yes,No,Yes
RBT_455,Painting,CMP_649,Thermal,98% (defect-free),55.4,99.7,Unstable,1.9,No,Yes,No
RBT_456,Inspection,CMP_337,LIDAR,0 (no obstacle),71.3,91.5,Unstable,1.6,Yes,No,No
RBT_457,Inspection,CMP_970,Camera,0 (clear path),40.6,97.1,Unstable,1.5,Yes,No,No
RBT_458,Painting,CMP_956,Camera,0 (no obstacle),70.1,96.6,Unstable,2.8,Yes,Yes,Yes
RBT_459,Painting,CMP_989,Thermal,82.4 (°C),44.5,90.2,Stable,1.6,No,Yes,No
RBT_460,Welding,CMP_705,Thermal,0 (clear path),48.7,93.6,Stable,1.3,Yes,Yes,Yes
RBT_461,Welding,CMP_168,Thermal,85.3 (°C),58.7,92.5,Unstable,1.2,Yes,Yes,No
RBT_462,Painting,CMP_926,Camera,85.3 (°C),63.3,94.9,Unstable,2.0,Yes,Yes,No
RBT_463,Assembly,CMP_571,LIDAR,85.3 (°C),48.7,96.3,Unstable,2.9,No,Yes,Yes
RBT_464,Assembly,CMP_920,LIDAR,85.3 (°C),76.1,98.9,Unstable,1.4,Yes,No,Yes
RBT_465,Inspection,CMP_472,Camera,82.4 (°C),57.7,95.1,Stable,1.8,Yes,No,Yes
RBT_466,Welding,CMP_812,Camera,0 (no obstacle),66.5,90.5,Unstable,1.4,No,Yes,Yes
RBT_467,Painting,CMP_999,LIDAR,1 (obstacle detected),65.5,92.0,Stable,2.6,No,Yes,No
RBT_468,Assembly,CMP_196,Thermal,98% (defect-free),59.6,93.1,Unstable,2.7,Yes,No,No
RBT_469,Inspection,CMP_816,LIDAR + Camera,98% (defect-free),55.9,95.1,Stable,2.6,Yes,Yes,Yes
RBT_470,Inspection,CMP_660,LIDAR,0 (clear path),78.0,92.3,Stable,2.1,Yes,No,Yes
RBT_471,Assembly,CMP_945,LIDAR + Camera,98% (defect-free),47.9,90.8,Stable,1.4,No,No,Yes
RBT_472,Welding,CMP_968,LIDAR + Camera,82.4 (°C),58.5,94.8,Unstable,2.7,Yes,Yes,Yes
RBT_473,Welding,CMP_593,Thermal,0 (no obstacle),69.2,90.7,Stable,1.1,Yes,No,No
RBT_474,Inspection,CMP_951,LIDAR + Camera,98% (defect-free),65.4,93.2,Unstable,1.3,Yes,Yes,No
RBT_475,Assembly,CMP_996,Camera,0 (no obstacle),47.9,98.3,Unstable,2.0,Yes,Yes,No
RBT_476,Welding,CMP_209,LIDAR + Camera,0 (no obstacle),76.0,97.4,Stable,1.2,Yes,No,No
RBT_477,Assembly,CMP_442,Thermal,85.3 (°C),54.5,94.7,Unstable,2.3,No,Yes,Yes
RBT_478,Welding,CMP_302,LIDAR + Camera,82.4 (°C),40.6,94.5,Unstable,2.9,No,No,Yes
RBT_479,Painting,CMP_506,LIDAR + Camera,92% (visual fit),54.1,98.3,Unstable,2.6,Yes,Yes,No
RBT_480,Inspection,CMP_201,LIDAR + Camera,98% (defect-free),47.6,90.8,Stable,2.2,No,No,Yes
RBT_481,Assembly,CMP_997,LIDAR + Camera,82.4 (°C),67.4,99.6,Unstable,3.0,Yes,Yes,Yes
RBT_482,Welding,CMP_530,Camera,1 (obstacle detected),54.0,99.9,Stable,2.3,No,Yes,Yes
RBT_483,Inspection,CMP_919,LIDAR,82.4 (°C),57.5,98.4,Stable,1.8,No,Yes,Yes
RBT_484,Assembly,CMP_265,Camera,92% (visual fit),62.0,98.8,Unstable,2.4,No,No,Yes
RBT_485,Painting,CMP_363,LIDAR,75.8 (°C),40.6,98.1,Unstable,1.4,Yes,No,Yes
RBT_486,Assembly,CMP_736,LIDAR,1 (obstacle detected),45.4,93.2,Unstable,2.1,Yes,No,No
RBT_487,Assembly,CMP_902,Camera,75.8 (°C),56.5,99.5,Unstable,2.0,No,Yes,Yes
